topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,4,1000000,10,1,1,10,512,100,5,29,2.0
2,1,4,10,1,0,1000,10,512,10000,2,29,2.0
4,10,4,1000000,1,1,1,10,512,10000,5,29,2.0
4,10,4,1000000,10,1,1000,1000,512,10000,5,0,0.000472531228595
2,10,4,10,1,0,1000,10,1024,100,2,0,0.878905361663
2,1,2,1000000,1,1,1000,1000,512,10000,2,0,0.000122558531912
4,1,2,1000000,10,1,1000,10,1024,10000,5,0,2.0
2,1,4,10,10,0,1000,1000,512,100,2,0,2.0
2,10,4,10,1,0,1,1000,1024,100,2,0,2.0
4,1,4,10,1,1,1000,10,1024,100,5,29,0.250094301981
4,10,2,10,1,1,1000,10,512,10000,2,29,2.0
2,1,4,10,1,0,1,10,1024,100,2,0,0.0148908616273
