fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,1,0,128,32,1024,130621.6
1,0,1,1,0,64,8,256,141618.4
1,0,0,0,1,256,32,1024,139426.0
1,1,1,0,0,256,2,4096,131836.0
0,0,1,1,0,128,8,4096,46503.2
1,0,1,0,0,128,2,1024,137218.2
0,1,1,0,0,128,2,1024,47200.2
0,0,0,1,0,128,2,1024,46355.2
0,1,0,1,0,256,8,4096,46431.0
1,0,1,1,1,64,2,1024,135739.2
1,1,1,1,0,64,8,256,133653.4
1,1,1,1,0,256,32,1024,127038.8
0,0,0,1,0,64,8,256,46269.0
0,0,0,1,1,128,8,4096,46615.8
0,1,0,1,0,128,8,4096,46586.4
0,0,0,1,0,128,8,4096,46352.2
1,1,0,1,0,128,2,1024,132390.8
0,1,0,0,1,256,8,256,46192.0
1,0,1,0,1,64,8,256,138369.4
1,1,1,0,0,256,32,1024,132806.8
0,0,0,0,0,64,8,256,46297.6
0,0,0,1,0,64,32,256,46298.4
0,0,0,1,0,256,2,1024,46554.6
1,1,1,0,1,256,32,256,129297.0
0,0,0,0,1,128,2,1024,46113.2
1,0,1,0,0,256,32,1024,134646.2
0,1,1,1,1,128,32,1024,46752.2
0,1,0,1,1,256,32,4096,47368.0
1,0,0,1,0,64,8,4096,134655.4
1,1,0,1,1,64,8,1024,125966.2
0,0,1,1,1,128,8,4096,46649.4
0,1,1,1,1,128,2,1024,46877.2
0,0,0,1,1,128,32,4096,46343.6
1,0,0,0,0,256,8,4096,135307.4
1,0,0,0,1,256,8,256,136333.8
1,1,0,1,1,128,2,1024,127180.0
0,0,0,0,1,256,2,256,46214.2
1,0,0,0,1,64,32,4096,128417.8
0,1,1,0,0,64,32,1024,46145.0
1,1,0,1,1,256,2,4096,125375.6
0,1,0,0,0,64,2,1024,46111.6
1,0,0,0,0,256,8,4096,135307.4
1,0,0,1,1,64,8,256,136979.0
1,0,1,1,1,64,8,4096,136839.6
0,0,0,1,0,64,8,4096,46361.2
1,1,1,0,0,256,2,4096,131836.0
0,1,0,0,1,256,2,1024,46142.2
1,0,1,1,0,128,32,4096,138185.4
1,0,1,1,1,64,32,256,139137.0
0,1,1,1,0,128,8,1024,46551.0
0,0,0,0,1,128,8,4096,46212.2
0,1,1,0,0,128,32,4096,46145.8
0,1,1,0,0,256,2,256,46407.8
1,0,1,1,1,128,8,4096,136724.4
0,0,0,1,1,64,32,1024,46600.2
0,0,1,1,0,256,8,256,46479.8
1,1,0,1,0,64,2,1024,139402.4
0,1,0,1,1,128,32,4096,46394.0
0,0,1,1,1,128,2,256,46688.4
0,1,0,1,0,128,8,4096,46586.4
1,0,1,1,1,128,8,4096,136724.4
1,0,1,0,1,128,2,1024,135485.6
0,0,1,0,1,256,8,256,46064.6
1,0,0,0,0,256,32,4096,134589.6
0,0,0,1,1,128,32,1024,46258.4
1,0,1,0,0,64,8,1024,133410.0
0,0,1,1,1,128,32,1024,46659.6
1,1,0,1,1,256,2,1024,130103.4
1,0,1,0,1,256,32,1024,134690.4
0,0,1,0,1,128,2,4096,46359.4
1,0,0,0,0,256,32,256,132823.0
0,1,0,0,0,128,8,4096,46379.2
