new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,1,1,1,60,4096,6,64948.93481249244
5,0,1,1,0,80,1024,4,64307.17852006054
4,1,1,1,0,70,4,8,63666.89050852269
5,1,1,0,0,60,4,6,63028.566914897114
4,0,0,1,1,40,1024,10,62392.70927281292
5,1,1,0,1,30,32,8,61759.82437048994
5,1,1,1,0,10,4096,8,61130.424048543806
1,1,1,1,0,20,128,8,60505.02493619561
4,1,0,0,1,70,2048,10,59884.14812479417
1,1,1,0,0,60,32,8,59268.31877789528
2,1,1,0,0,10,4096,0,58658.06567748417
2,1,0,1,0,0,1024,10,58053.92070627272
1,0,0,0,0,100,4,10,57456.41826635071
2,1,1,0,0,10,1024,0,56866.094634819965
2,1,0,0,0,80,4,2,56283.48725738842
3,1,0,1,0,60,512,4,55709.13398124706
3,1,0,1,0,20,64,4,55143.572228895595
4,0,0,0,1,10,2,0,54587.33811492016
4,0,0,0,1,40,2048,2,54040.96550805674
3,1,1,0,1,90,512,6,53504.98504119699
2,1,0,0,1,70,128,0,52979.92307230532
5,0,0,0,1,10,32,2,52466.3005995194
3,0,1,1,0,20,1,0,51964.63213399426
3,1,0,0,1,40,2048,2,51475.424534327554
3,1,0,0,0,80,2048,0,50999.17580666358
3,1,1,1,0,20,64,6,50536.37387481917
1,1,0,0,0,0,4,10,50087.49532500188
5,1,1,1,1,100,32,8,49653.004129900546
3,0,1,1,0,20,1,10,49233.35035711796
5,0,1,1,1,50,128,10,48828.968867085896
5,1,1,0,0,90,4096,2,48440.27800575033
4,0,0,0,1,70,2,10,48067.67829744327
1,1,1,1,0,80,64,6,47711.55114346035
3,0,0,1,1,90,256,8,47372.25753194626
3,1,0,0,1,60,2,10,47050.13676474715
5,1,1,0,1,40,2048,6,46745.50520692334
3,0,1,1,0,90,512,2,46458.655064625724
5,1,0,1,0,20,4,4,46189.85319702437
2,1,0,0,1,70,4096,8,45939.33996793898
3,1,1,0,1,90,1,0,45707.32814275734
5,0,1,1,0,80,4,6,45494.001836139905
3,0,1,1,1,30,1,4,45299.515515896375
5,0,1,0,0,70,2048,4,45123.99306828511
2,0,0,1,1,100,8,6,44967.526929825646
2,0,0,1,1,10,128,6,44830.17729053306
5,1,1,0,0,80,16,0,44711.97137327808
5,0,1,1,0,100,128,2,44612.9027937502
1,1,0,1,0,40,8,4,44532.93100525423
1,1,0,0,1,100,2,2,44471.980832302674
5,0,0,1,1,0,16,2,44429.94209668086
5,1,0,1,1,80,2048,6,44406.66933935621
1,0,0,0,1,90,128,0,44401.981641282015
4,1,0,0,0,100,8,10,44415.66254580937
4,0,1,0,0,80,1024,0,44447.46008506746
1,1,1,0,0,10,8,2,44497.08691230916
4,1,0,1,0,0,2,2,44564.220541840405
2,0,1,0,0,30,1024,2,44648.503697765205
3,0,0,0,0,30,2,0,44749.54477238102
2,0,0,1,0,20,512,6,44866.91839465588
2,1,1,0,0,0,8,0,45000.166108807716
1,0,0,0,0,0,1,4,45148.79716259313
5,1,0,0,0,50,128,2,45312.28940449453
3,1,1,0,0,60,8,8,45490.09028857692
3,0,1,1,0,80,2048,6,45681.61798536737
3,1,1,1,0,60,64,8,45886.26259669445
1,1,0,0,1,100,2048,6,46103.387472012815
4,0,1,0,0,20,16,10,46332.33062333107
3,1,1,1,1,0,256,0,46572.406235461356
2,0,0,1,0,30,1,6,46822.90626791791
4,1,0,0,0,10,4,4,47083.102144410215
5,0,1,0,1,70,256,8,47352.246525507086
4,1,0,1,0,30,64,4,47629.575159691376
3,0,1,1,1,60,64,6,47914.3088076834
4,1,1,0,1,40,8,8,48205.655234584774
3,1,0,1,0,40,512,4,48502.81126408652
2,0,0,1,1,80,16,8,48804.96488869468
4,1,1,0,1,100,128,8,49111.297429657134
5,0,1,1,0,20,1024,0,49420.9857400261
2,1,1,1,0,40,4,0,49733.204444063835
5,1,0,1,0,70,1,6,50047.12820599517
3,1,0,1,0,60,4096,2,50361.93402093058
3,1,0,1,1,50,32,6,50676.80352062923
3,1,0,1,0,50,64,0,50990.925286640166
1,0,0,1,1,100,2,10,51303.497163259126
4,0,0,0,0,30,32,0,51613.72856265982
5,0,1,1,1,50,64,8,51920.84275451042
1,1,1,0,1,80,512,6,52224.07913236416
4,1,0,0,1,10,2,8,52522.69544911913
1,0,0,0,0,0,8,2,52815.97001387637
3,1,1,0,1,80,128,10,53103.20384258774
1,0,0,0,1,90,4,2,53383.72275497508
1,1,1,1,0,0,256,10,53656.8794103202
1,1,0,1,0,100,64,8,53922.05527487047
4,1,0,0,1,10,16,10,54178.66251377766
2,0,0,1,0,70,2048,8,54426.14580068665
3,1,1,0,0,0,8,0,54663.98403831615
2,1,0,0,1,100,32,0,54891.69198362421
3,1,0,1,0,70,16,6,55108.821771426796
4,0,0,0,1,0,64,8,55314.96433063671
4,1,1,0,0,50,256,8,55509.75068761214
2,1,1,1,1,90,128,4,55692.85315144798
4,0,0,1,1,40,16,4,55863.986376407105
4,1,0,0,1,20,2048,0,56022.90829707286
3,0,0,0,0,80,8,8,56169.42093220572
1,1,1,0,0,50,2,0,56303.37105370565
5,0,0,0,0,20,1024,4,56424.65071751619
3,1,1,0,1,40,256,10,56533.19765375329
4,1,0,1,0,70,4096,4,56628.995513803
1,1,1,1,1,10,128,4,56712.07397260232
1,0,0,1,1,40,4,8,56782.5086847979
4,0,1,0,0,60,256,6,56840.421093964294
1,0,0,0,1,80,2,4,56885.97809455718
2,0,0,1,1,40,128,8,56919.39154677288
2,0,0,1,1,30,1,8,56940.917644985944
5,1,0,0,1,90,2,6,56950.85614093528
4,0,1,1,1,70,64,8,56949.54942332828
3,1,0,0,1,30,2048,10,56937.381456026786
4,0,0,0,0,20,1,8,56914.776577469995
5,0,1,1,1,20,4096,10,56882.19816447177
2,0,1,0,1,100,8,8,56840.147164006376
2,0,0,1,1,10,2048,6,56789.160497060504
3,1,0,0,0,10,64,0,56729.80933908324
