new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,0,1,0,90,32,0,17700.0
1,0,0,0,0,90,64,0,17765.0
1,0,0,0,1,80,16,2,17727.6
2,0,0,0,0,80,16,2,5003.6
3,0,0,0,0,80,16,2,12280.2
3,1,0,1,0,80,32,0,12130.8
2,1,1,1,1,100,32,0,17695.0
2,1,1,0,1,90,16,0,4926.8
3,0,0,0,0,80,64,2,12122.2
2,0,0,0,0,100,32,2,4718.4
1,0,0,1,0,100,32,0,17777.0
2,0,0,0,0,90,16,0,4948.4
2,1,0,0,0,100,16,0,4932.0
2,1,0,0,0,80,16,0,5029.0
3,1,1,0,0,80,16,0,12343.4
1,0,1,0,0,80,16,2,17711.2
2,0,0,1,0,90,32,0,17693.0
1,1,0,0,1,100,64,0,17725.6
2,1,1,1,0,80,16,0,17625.2
3,1,1,1,1,100,16,0,12300.0
1,0,0,0,0,100,64,2,17737.2
3,1,0,0,1,100,32,2,12208.0
3,1,0,0,0,90,16,0,12275.4
3,1,0,1,1,90,64,2,12203.4
1,1,0,1,1,90,64,0,17678.2
1,0,1,0,1,80,64,2,17737.4
3,1,1,0,1,100,32,2,12158.8
1,0,0,0,1,80,16,0,17739.6
3,0,0,1,1,90,64,0,12085.4
2,1,0,1,0,80,64,0,17644.6
1,1,1,0,1,90,32,0,17727.2
2,0,1,1,1,80,16,0,17634.2
3,1,1,1,0,80,32,0,12259.2
1,1,0,0,1,80,64,0,17790.0
1,1,0,0,0,80,32,2,17736.8
1,0,1,0,1,80,64,0,17749.0
2,1,1,0,0,100,64,2,4627.6
1,0,1,1,1,80,32,0,17700.0
1,0,1,1,1,80,16,0,17664.8
3,1,1,0,1,100,64,2,12162.2
2,0,1,1,1,80,64,2,17696.8
1,0,0,1,0,100,64,2,17739.2
1,0,0,1,1,90,16,0,17747.2
2,0,0,0,0,90,64,2,4678.4
1,1,0,1,0,90,32,2,17721.0
2,1,1,1,0,100,32,2,17706.2
2,0,1,1,1,80,16,2,17678.6
