fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,1,0,1,256,32,256,129297.0
0,0,0,0,1,256,8,4096,46282.0
0,1,1,1,1,128,8,256,46554.0
1,1,0,1,0,128,8,1024,135017.0
0,0,1,1,1,128,8,1024,46669.0
1,1,1,0,0,128,8,4096,128931.4
0,1,0,1,1,256,8,256,46453.0
1,0,1,1,0,256,32,1024,143943.2
0,0,0,1,0,256,8,256,46388.8
0,0,0,0,1,256,32,4096,46070.8
1,1,0,1,0,256,32,256,134325.4
1,0,0,0,1,128,8,256,133596.6
1,1,1,0,1,128,8,4096,130528.6
1,1,0,0,0,256,8,4096,133344.2
1,0,1,0,0,256,32,1024,134646.2
1,0,1,1,1,256,8,1024,134859.0
0,0,1,0,1,128,32,1024,47486.6
0,0,1,0,0,256,8,1024,46146.2
0,0,0,0,0,128,32,256,46255.0
1,0,1,0,0,256,32,4096,138631.4
0,0,0,1,1,128,32,256,46408.2
1,1,1,1,1,256,8,4096,134411.4
0,0,0,1,1,128,8,256,46472.4
1,1,0,1,0,128,8,4096,132048.8
1,0,0,0,0,128,8,1024,130750.8
1,0,0,0,0,256,8,4096,135307.4
1,0,0,0,0,256,8,256,134915.4
1,1,1,1,0,256,32,256,131548.2
1,1,0,1,1,256,8,4096,131693.0
1,0,1,1,1,128,8,1024,139292.8
0,0,1,1,0,256,32,1024,47774.0
1,1,0,1,0,128,32,1024,134356.6
1,1,1,1,0,256,8,256,124653.8
0,1,0,0,1,128,8,256,46673.2
1,0,0,1,1,128,8,4096,133106.0
1,0,1,0,1,128,8,4096,137829.6
0,1,1,0,1,128,8,256,46212.4
0,0,1,0,0,256,32,256,46243.2
1,0,0,0,1,256,32,256,135823.2
1,0,0,0,0,256,32,256,132823.0
1,1,1,1,0,256,32,1024,127038.8
1,1,0,1,1,128,8,1024,129166.2
1,0,0,0,1,256,8,4096,131261.2
1,1,0,0,1,256,8,1024,133251.6
1,0,1,1,1,128,32,4096,136977.2
0,1,1,0,0,256,8,1024,47095.6
0,1,1,0,0,128,8,4096,46157.6
0,1,1,1,1,256,8,256,46778.4
0,1,1,0,0,256,32,1024,46047.4
0,1,0,0,1,256,32,4096,46104.2
0,0,1,0,0,128,32,4096,46233.6
0,1,0,0,1,256,32,256,46163.4
1,0,1,0,1,128,8,1024,136768.0
0,1,1,1,0,256,8,4096,47064.8
0,0,0,1,1,256,32,1024,46368.4
1,0,0,1,0,256,8,4096,131930.8
1,0,0,1,1,128,8,256,132351.4
1,1,1,0,1,256,8,1024,128079.8
0,0,1,1,1,128,32,256,46567.8
1,1,1,1,0,256,8,4096,129630.8
0,0,1,1,0,128,32,1024,46495.6
1,1,0,1,1,256,32,256,132261.2
0,0,0,0,1,128,8,1024,46255.2
0,0,1,0,1,256,32,1024,45939.8
1,0,0,1,0,128,8,256,132011.0
1,0,1,0,0,128,32,256,135051.0
0,0,0,0,0,256,8,256,46305.6
0,0,0,0,1,128,32,4096,46304.6
0,0,1,1,1,256,32,256,46605.0
1,0,0,0,1,256,32,1024,139426.0
1,1,1,0,1,128,32,256,128130.2
0,0,1,0,1,128,8,256,46271.0
0,1,0,0,1,128,32,1024,46405.0
1,0,1,1,1,128,32,1024,142199.6
1,0,1,1,1,256,32,4096,139169.0
1,0,0,1,0,256,32,1024,133283.0
